Room,Tag Number,Description,Manufacturer,Model,Serial Number,VCI N/A,Asset N/A
Offsite,V1807C12586,Chromebook,Acer,C738T,NXG55AA0107191FC407600,V1807C12586,Asset N/A
Offsite,V1807C12482,Chromebook,Acer,C738T,NXG55AA0107191FC4A7600,V1807C12482,Asset N/A
Offsite,V1807C12588,Chromebook,Acer,C738T,NXG55AA0107191FC4D7600,V1807C12588,Asset N/A
Offsite,V1807C12532,Chromebook,Acer,C738T,NXG55AA0107191FC4F7600,V1807C12532,Asset N/A
Offsite,V1807C12573,Chromebook,Acer,C738T,NXG55AA0107191FC507600,V1807C12573,Asset N/A
Offsite,V1807C12471,Chromebook,Acer,C738T,NXG55AA0107191FC517600,V1807C12471,Asset N/A
Offsite,V1807C12472,Chromebook,Acer,C738T,NXG55AA0107191FC537600,V1807C12472,Asset N/A
Offsite,V1807C12583,Chromebook,Acer,C738T,NXG55AA0107191FC557600,V1807C12583,Asset N/A
Offsite,V1807C12520,Chromebook,Acer,C738T,NXG55AA0107191FC567600,V1807C12520,Asset N/A
Offsite,V1807C12567,Chromebook,Acer,C738T,NXG55AA0107191FC5B7600,V1807C12567,Asset N/A
Offsite,V1807C12584,Chromebook,Acer,C738T,NXG55AA0107191FC5D7600,V1807C12584,Asset N/A
Offsite,V1807C12565,Chromebook,Acer,C738T,NXG55AA0107191FC5E7600,V1807C12565,Asset N/A
Offsite,V1807C12544,Chromebook,Acer,C738T,NXG55AA0107191FC627600,V1807C12544,Asset N/A
Offsite,V1807C12545,Chromebook,Acer,C738T,NXG55AA0107191FC647600,V1807C12545,Asset N/A
Offsite,V1807C12470,Chromebook,Acer,C738T,NXG55AA0107191FC657600,V1807C12470,Asset N/A
Offsite,V1807C12542,Chromebook,Acer,C738T,NXG55AA0107191FC667600,V1807C12542,Asset N/A
Offsite,V1807C12581,Chromebook,Acer,C738T,NXG55AA0107191FC677600,V1807C12581,Asset N/A
Offsite,V1807C12570,Chromebook,Acer,C738T,NXG55AA0107191FC687600,V1807C12570,Asset N/A
Offsite,V1807C12455,Chromebook,Acer,C738T,NXG55AA0107191FC6B7600,V1807C12455,Asset N/A
Offsite,V1807C12451,Chromebook,Acer,C738T,NXG55AA0107191FC6C7600,V1807C12451,Asset N/A
Offsite,V1807C12491,Chromebook,Acer,C738T,NXG55AA0107191FC717600,V1807C12491,Asset N/A
Offsite,V1807C12537,Chromebook,Acer,C738T,NXG55AA0107191FC727600,V1807C12537,Asset N/A
Offsite,V1807C12497,Chromebook,Acer,C738T,NXG55AA0107191FC757600,V1807C12497,Asset N/A
Offsite,V1807C12527,Chromebook,Acer,C738T,NXG55AA0107191FC777600,V1807C12527,Asset N/A
Offsite,V1807C12557,Chromebook,Acer,C738T,NXG55AA0107191FC797600,V1807C12557,Asset N/A
Offsite,V1807C12582,Chromebook,Acer,C738T,NXG55AA0107191FC7A7600,V1807C12582,Asset N/A
Offsite,V1807C12525,Chromebook,Acer,C738T,NXG55AA0107191FC7C7600,V1807C12525,Asset N/A
Offsite,V1807C12543,Chromebook,Acer,C738T,NXG55AA0107191FC7F7600,V1807C12543,Asset N/A
Offsite,V1807C12526,Chromebook,Acer,C738T,NXG55AA0107191FC827600,V1807C12526,Asset N/A
Offsite,V1807C12466,Chromebook,Acer,C738T,NXG55AA0107191FC847600,V1807C12466,Asset N/A
Offsite,V1807C12566,Chromebook,Acer,C738T,NXG55AA0107191FC867600,V1807C12566,Asset N/A
Offsite,V1807C12485,Chromebook,Acer,C738T,NXG55AA0107191FC887600,V1807C12485,Asset N/A
Offsite,V1807C12463,Chromebook,Acer,C738T,NXG55AA0107191FC897600,V1807C12463,Asset N/A
Offsite,V1807C12547,Chromebook,Acer,C738T,NXG55AA0107191FC8B7600,V1807C12547,Asset N/A
Offsite,V1807C12450,Chromebook,Acer,C738T,NXG55AA0107191FC8E7600,V1807C12450,Asset N/A
Offsite,V1807C12449,Chromebook,Acer,C738T,NXG55AA0107191FC917600,V1807C12449,Asset N/A
Offsite,V1807C12555,Chromebook,Acer,C738T,NXG55AA0107191FC937600,V1807C12555,Asset N/A
Offsite,V1807C12546,Chromebook,Acer,C738T,NXG55AA0107191FC947600,V1807C12546,Asset N/A
Offsite,V1807C12484,Chromebook,Acer,C738T,NXG55AA0107191FC957600,V1807C12484,Asset N/A
Offsite,V1807C12587,Chromebook,Acer,C738T,NXG55AA0107191FC967600,V1807C12587,Asset N/A
Offsite,V1807C12511,Chromebook,Acer,C738T,NXG55AA0107191FC977600,V1807C12511,Asset N/A
Offsite,V1807C12510,Chromebook,Acer,C738T,NXG55AA0107191FC987600,V1807C12510,Asset N/A
Offsite,V1807C12453,Chromebook,Acer,C738T,NXG55AA0107191FC997600,V1807C12453,Asset N/A
Offsite,V1807C12512,Chromebook,Acer,C738T,NXG55AA0107191FC9B7600,V1807C12512,Asset N/A
Offsite,V1807C12536,Chromebook,Acer,C738T,NXG55AA0107191FC9D7600,V1807C12536,Asset N/A
Offsite,V1807C12458,Chromebook,Acer,C738T,NXG55AA0107191FCA37600,V1807C12458,Asset N/A
Offsite,V1807C12509,Chromebook,Acer,C738T,NXG55AA0107191FCA47600,V1807C12509,Asset N/A
Offsite,V1807C12521,Chromebook,Acer,C738T,NXG55AA0107191FCA77600,V1807C12521,Asset N/A
Offsite,V1807C12528,Chromebook,Acer,C738T,NXG55AA0107191FCA97600,V1807C12528,Asset N/A
Offsite,V1807C12513,Chromebook,Acer,C738T,NXG55AA0107191FCAC7600,V1807C12513,Asset N/A
Offsite,V1807C12462,Chromebook,Acer,C738T,NXG55AA0107191FCAF7600,V1807C12462,Asset N/A
Offsite,V1807C12452,Chromebook,Acer,C738T,NXG55AA0107191FCB17600,V1807C12452,Asset N/A
Offsite,V1807C12556,Chromebook,Acer,C738T,NXG55AA0107191FCB77600,V1807C12556,Asset N/A
Offsite,V1807C12464,Chromebook,Acer,C738T,NXG55AA0107191FCBF7600,V1807C12464,Asset N/A
