Room,Tag Number,Description,Manufacturer,Model,Serial Number,VCI N/A,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B017600,V1807C12360,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B067600,V1807C12355,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B087600,V1807C12439,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B097600,V1807C12365,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B0B7600,V1807C12329,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B107600,V1807C12394,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B127600,V1807C12310,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B187600,V1807C12318,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B197600,V1807C12427,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B1E7600,V1807C12443,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B217600,V1807C12415,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B277600,V1807C12367,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B2A7600,V1807C12128,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B2C7600,V1807C12119,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B337600,V1807C12308,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B377600,V1807C12332,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B387600,V1807C12335,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B3A7600,V1807C12398,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B3E7600,V1807C12441,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B407600,V1807C12375,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B427600,V1807C12442,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B437600,V1807C12361,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B447600,V1807C12417,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B457600,V1807C12404,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B477600,V1807C12309,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B487600,V1807C12378,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B4B7600,V1807C12422,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B4C7600,V1807C12362,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B4D7600,V1807C12418,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B4E7600,V1807C12405,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B507600,V1807C12395,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B517600,V1807C12397,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B527600,V1807C12425,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B537600,V1807C12376,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B567600,V1807C12421,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B5B7600,V1807C12366,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B5C7600,V1807C12393,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B5D7600,V1807C12368,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B5F7600,V1807C12396,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B617600,V1807C12419,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B687600,V1807C12374,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B737600,V1807C12363,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800B747600,V1807C12312,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800BB37600,V1807C12313,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800BD57600,V1807C12057,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800BEB7600,V1807C10054,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081800BFE7600,V1807C12155,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818034DD7600,V1807C12677,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818034E87600,V1807C12161,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818034FF7600,V1807C12009,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035087600,V1807C12158,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035097600,V1807C12126,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035117600,V1807C12165,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035167600,V1807C12154,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180351A7600,V1807C12051,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180351B7600,V1807C12053,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180351C7600,V1807C12017,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180351D7600,V1807C12160,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180351E7600,V1807C12018,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180351F7600,V1807C12058,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035207600,V1807C12605,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035227600,V1807C12106,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035237600,V1807C12010,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035257600,V1807C12050,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035267600,V1807C12016,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035287600,V1807C12015,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035297600,V1807C12159,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180352A7600,V1807C12008,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180352B7600,V1807C12100,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180352D7600,V1807C12030,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180352E7600,V1807C12164,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180352F7600,V1807C12602,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035307600,V1807C12014,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035327600,V1807C12103,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035337600,V1807C12678,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035347600,V1807C12031,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035357600,V1807C12157,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035377600,V1807C12156,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035387600,V1807C12603,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180353A7600,V1807C12032,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180353B7600,V1807C12107,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180353C7600,V1807C12102,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180353F7600,V1807C12049,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035407600,V1807C12108,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035427600,V1807C12153,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035437600,V1807C12151,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035447600,V1807C12037,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035457600,V1807C12120,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035467600,V1807C12012,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035477600,V1807C12034,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035487600,V1807C12152,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035497600,V1807C12162,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180354A7600,V1807C12101,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180354C7600,V1807C12013,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180354D7600,V1807C12011,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035517600,V1807C12124,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035527600,V1807C12121,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035537600,V1807C12122,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035547600,V1807C12123,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035557600,V1807C12033,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035577600,V1807C12054,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108180355B7600,V1807C12056,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818035607600,V1807C12055,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818106407600,V1807C12571,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818106FF7600,V1807C12531,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818107477600,V1807C12529,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818107D67600,V1807C12579,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818107F87600,V1807C12501,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181084C7600,V1807C12574,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181096F7600,V1807C12592,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181099C7600,V1807C12563,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818109BF7600,V1807C12594,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818109C17600,V1807C12593,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818109C87600,V1807C12564,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818109ED7600,V1807C12461,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A077600,V1807C12476,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A0E7600,V1807C12465,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A237600,V1807C12460,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A2A7600,V1807C12598,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A307600,V1807C12429,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A317600,V1807C12468,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A327600,V1807C12430,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A347600,V1807C12477,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A377600,V1807C12538,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A3A7600,V1807C12474,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A417600,V1807C12562,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A437600,V1807C12478,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A477600,V1807C12487,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A487600,V1807C12589,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A4A7600,V1807C12591,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A4C7600,V1807C12454,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A547600,V1807C12561,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A587600,V1807C12590,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A5A7600,V1807C12580,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A737600,V1807C12534,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081810A917600,V1807C12519,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818121847600,V1807C12551,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818121917600,V1807C12576,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818121AE7600,V1807C12481,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818121B17600,V1807C12469,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122087600,V1807C12673,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122127600,V1807C12490,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122187600,V1807C12553,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122267600,V1807C12552,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181222B7600,V1807C12500,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122327600,V1807C12569,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122397600,V1807C12518,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122477600,V1807C12502,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122537600,V1807C12498,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181225F7600,V1807C12522,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122697600,V1807C12496,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122907600,V1807C12541,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122917600,V1807C12578,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122A07600,V1807C12489,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122A77600,V1807C12508,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122B57600,V1807C12459,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122C47600,V1807C12483,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122C67600,V1807C12456,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122CA7600,V1807C12572,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122D07600,V1807C12507,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122D17600,V1807C12493,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122E97600,V1807C12492,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122ED7600,V1807C12506,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122F47600,V1807C12539,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818122FC7600,V1807C12597,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123027600,V1807C12515,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123037600,V1807C12530,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123067600,V1807C12554,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123087600,V1807C12550,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181230B7600,V1807C12595,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123127600,V1807C12523,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123157600,V1807C12568,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123197600,V1807C12457,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123207600,V1807C12558,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123257600,V1807C12488,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181232B7600,V1807C12575,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181232D7600,V1807C12540,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123327600,V1807C12517,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123337600,V1807C12503,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123347600,V1807C12504,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123357600,V1807C12549,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123367600,V1807C12479,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181233A7600,V1807C12577,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181233B7600,V1807C12548,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123417600,V1807C12516,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123427600,V1807C12473,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123457600,V1807C12524,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123487600,V1807C12596,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA010818123647600,V1807C12480,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA0108181236D7600,V1807C12475,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901CAA7600,V1807C11649,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901CC37600,V1807C11639,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901D3E7600,V1807C11521,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901DB37600,V1807C11681,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901DBF7600,V1807C11609,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901DE27600,V1807C11577,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E1D7600,V1807C11615,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E207600,V1807C11633,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E257600,V1807C11671,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E2F7600,V1807C11548,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E347600,V1807C11654,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E357600,V1807C11622,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E3A7600,V1807C11623,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E3E7600,V1807C11600,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E3F7600,V1807C11667,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E467600,V1807C11659,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E477600,V1807C11641,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E497600,V1807C11640,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E4A7600,V1807C11573,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E4B7600,V1807C11635,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E4C7600,V1807C11643,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E4D7600,V1807C11632,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E4F7600,V1807C11644,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E507600,V1807C11611,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E517600,V1807C11624,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E527600,V1807C11619,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E557600,V1807C11621,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E567600,V1807C11601,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E577600,V1807C11606,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E587600,V1807C11617,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E597600,V1807C11662,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E5A7600,V1807C11663,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E5B7600,V1807C11584,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E5C7600,V1807C11670,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E5D7600,V1807C11614,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E5E7600,V1807C11625,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E5F7600,V1807C11668,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E607600,V1807C11674,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E617600,V1807C11597,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E627600,V1807C11598,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E637600,V1807C11545,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E647600,V1807C11610,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E657600,V1807C11666,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E677600,V1807C11599,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E697600,V1807C11608,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E6A7600,V1807C11607,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E6C7600,V1807C11605,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081901E6E7600,V1807C11648,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903A7C7600,V1807C11571,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903A7E7600,V1807C11650,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903A807600,V1807C11652,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903A917600,V1807C11651,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903AA17600,V1807C11574,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903AD47600,V1807C12667,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903AE87600,V1807C11631,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903AFF7600,V1807C12629,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903B177600,V1807C11557,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903B657600,V1807C11669,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903B717600,V1807C11665,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903B937600,V1807C11638,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903B967600,V1807C12616,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BAA7600,V1807C12601,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BAB7600,V1807C11634,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BB17600,V1807C11513,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BB37600,V1807C11636,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BB67600,V1807C11646,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BC77600,V1807C11576,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BD87600,V1807C11589,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BDE7600,V1807C11647,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BE57600,V1807C11637,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BE97600,V1807C12664,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BEB7600,V1807C11590,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BEC7600,V1807C11569,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BED7600,V1807C11618,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BF07600,V1807C11593,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BF17600,V1807C11581,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BF27600,V1807C11642,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BF87600,V1807C11559,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BFA7600,V1807C11588,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BFB7600,V1807C11558,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903BFF7600,V1807C11592,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C007600,V1807C11579,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C017600,V1807C11578,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C027600,V1807C11630,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C037600,V1807C11628,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C097600,V1807C11580,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C0A7600,V1807C11653,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C0C7600,V1807C11575,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C0D7600,V1807C11583,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C0E7600,V1807C11551,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C177600,V1807C11566,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C1A7600,V1807C11567,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C1C7600,V1807C11565,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C927600,V1807C11509,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C947600,V1807C12683,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C957600,V1807C12613,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C9B7600,V1807C12661,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903C9D7600,V1807C12614,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903CA17600,V1807C12663,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903CA97600,V1807C12608,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903CBC7600,V1807C12660,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903D7A7600,V1807C12109,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903DF17600,V1807C11604,Asset N/A
Offsite,,Chromebook,Acer,C738T,NXG55AA01081903E3F7600,V1807C12632,Asset N/A
